Image	Positive
ael469	0
ael468	0
fhl050	0
ael455	0
ggl030	0
ggl029	0
ngl072	0
ngl071	0
ngl090	0
fel088	0
ffl032	0
nil052	0
nil051	0
fcl012	0
ndl040	0
ncl022	0
ncl021	0
abl112	0
abl111	0
nil035	0
nil034	0
aal044	0
aal043	0
fgl051	0
fll023	0
fal036	0
nil006	0
nil005	0
fgl005	0
adl350	0
adl349	0
fcl028	0
nil002	0
nil001	0
ngl053	0
ngl052	0
fal020	0
nml002	0
nml001	0
fhl076	0
ffl078	0
acl241	0
fhl038	0
abl168	0
abl169	0
abl171	0
abl170	0
acl271	0
acl270	0
fhl098	0
gzl84	0
gzl83	0
abl121	0
abl120	0
fgl047	0
nll101	0
gzl66	0
gzl65	0
ngl098	0
ngl097	0
abl183	0
gal033	0
gal032	0
nml063	0
acl231	0
acl230	0
newl012	0
newl011	0
newl006	0
newl005	0
adl387bis	0
adl386	0
ndl091	0
ndl090	0
nel050	0
fel092	0
fll077	0
newl030	0
fel074	0
ndl068	0
ndl067	0
fbl042	0
ggl046	0
ggl045	0
gal130	0
gal129	0
fdl058	0
ggl066	0
ggl065	0
nel071	0
nel077	0
nel078	0
nil062	1
nil061	1
fil040	1
fil008	1
fll071	1
nil095	1
fll045	1
fbl046	1
fll027	1
gzl16	1
gzl15	1
nil078	1
nil077	1
fil006	1
fbl058	1
gal114	1
gal113	1
gal112	1
nal052	1
nal051	1
nal044	1
nal045	1
nil084	1
nil083	1
newl053	1
fdl014	1
fll126	1
newl055	1
fil010	1
nil068	1
nil067	1
nel041	0
nel040	0
gzl38	0
gzl37	0
nhl011	0
nhl010	0
nel098	0
ael508	0
ael444	0
fal100	0
fhl074	0
fbl080	0
fal090	0
nml008	0
nml007	0
ngl094	0
ngl093	0
fbl062	0
ndl009	0
ndl010	0
ndl035	0
nml030	0
nml029	0
nll061	0
ncl053	0
nll070	0
fdl002	0
abl135	0
abl134	0
fll083	0
aal052	0
aal051	0
gzl10	0
gzl09	0
adl366	0
fml020	0
acl283	0
ael413	0
ael412	0
abl153	0
abl152	0
gal152	0
gal151	0
aal090	0
aal089	0
adl348	0
adl347	0
aal008	0
aal007	0
ael481	0
nml067	0
nil048	0
nil047	0
fgl055	0
ngl096	0
adl321	0
adl320	0
acl285	0
acl284	0
ncl027	0
fbl030	0
adl337bis	0
adl337	0
aal038	0
aal037	0
fil064	0
ael415	0
ael414	0
newl024	0
newl023	0
fhl012	0
newl041	0
newl040	0
gzl81	0
acl294	0
ael405	0
ael404	0
fgl037	0
newl039	0
newl038	0
nml092	0
nml091	0
ael409	0
ael408	0
acl205	0
acl204	0
gzl18	0
gzl17	0
ael427	0
ael426	0
ggl016	0
ggl015	0
ggl012	0
ggl011	0
fcl054	1
gcl052	1
gcl051	1
gcl039	1
gcl038	1
gal146	1
gal145	1
fll097	1
gbl009	1
fll132	1
nal033	1
nal032	1
nil076	1
nil075	1
nal070	1
nal069	1
nal068	1
adl313	1
adl312	1
nbl034	1
nbl033	1
ffl080	1
nal089	1
ael496	1
ael495	1
fgl057	1
fcl040	1
gdl089	1
gdl088	1
nil090	1
nil089	1
nil082	1
nil081	1
fcl056	1
nel039	0
nel038	0
fdl070	0
nml102	0
nml101	0
fcl062	0
fgl090	0
adl325	0
adl371	0
adl370	0
abl128	0
adl335	0
adl334	0
abl185	0
abl184	0
gzl32	0
gzl31	0
abl137	0
abl136	0
fhl086	0
fel018	0
fel086	0
fbl004	0
ggl052	0
fcl018	0
ngl023	0
ngl022	0
nml014	0
nml013	0
gal230	0
gal229	0
abl177	0
fal038	0
fal042	0
aal004	0
aal003	0
ffl002	0
gzl56	0
gzl55	0
fml010	0
acl217	0
acl216	0
fel070	0
fll142	0
nll046	0
nll045	0
ggl024	0
ggl023	0
nil010	0
nil009	0
nll106	0
nll105	0
aal094	0
abl179	0
abl178	0
fbl092	0
aal064	0
fal022	0
ncl071	0
ncl072	0
nml032	0
gzl52	0
gzl51	0
acl211	0
acl210	0
ggl070	0
ggl069	0
adl385	0
adl384	0
fhl028	0
fhl016	0
ffl026	0
ffl025	0
nml004	0
nml003	0
gal238	0
gal237	0
ndl050	0
ndl049	0
nml012	0
nml011	0
adl358	0
adl357	0
ael464	0
nal004	0
nal006	0
nal005	0
ael488	0
ael487	0
fdl074	0
nfl028	0
ggl014	0
ggl013	0
nel066	0
nml081	1
nml080	1
nbl074	1
nbl073	1
fdl052	1
ggl058	1
ggl057	1
nal025	1
nfl063	1
